username,repo_name,stars,repo_url
bitcoin,bitcoin,74800,https://github.com/bitcoin/bitcoin
,ccxt,30800,https://github.com/ccxt
,freqtrade,24900,https://github.com/freqtrade
bitcoinbook,bitcoinbook,22400,https://github.com/bitcoinbook/bitcoinbook
HelloZeroNet,ZeroNet,18200,https://github.com/HelloZeroNet/ZeroNet
solana-labs,solana,11600,https://github.com/solana-labs/solana
bbfamily,abu,11100,https://github.com/bbfamily/abu
askmike,gekko,10000,https://github.com/askmike/gekko
dvf,blockchain,7600,https://github.com/dvf/blockchain
lightningnetwork,lnd,7400,https://github.com/lightningnetwork/lnd
,lbryio,7200,https://github.com/lbryio
spesmilo,electrum,7000,https://github.com/spesmilo/electrum
yeasy,blockchain_guide,6700,https://github.com/yeasy/blockchain_guide
butor,blackbird,5900,https://github.com/butor/blackbird
btcsuite,btcd,5800,https://github.com/btcsuite/btcd
btcpayserver,btcpayserver,5800,https://github.com/btcpayserver/btcpayserver
getumbrel,umbrel,5600,https://github.com/getumbrel/umbrel
,UFund-Me,5500,https://github.com/UFund-Me
bitcoinjs,bitcoinjs-lib,5400,https://github.com/bitcoinjs/bitcoinjs-lib
,jesse-ai,5100,https://github.com/jesse-ai
