username,repo_name,stars,repo_url
amphp,amp,4100,https://github.com/amphp/amp
danog,MadelineProto,2600,https://github.com/danog/MadelineProto
unreal4u,telegram-api,776,https://github.com/unreal4u/telegram-api
amphp,parallel,728,https://github.com/amphp/parallel
amphp,http-client,687,https://github.com/amphp/http-client
amphp,byte-stream,354,https://github.com/amphp/byte-stream
php-service-bus,service-bus,346,https://github.com/php-service-bus/service-bus
amphp,mysql,339,https://github.com/amphp/mysql
amphp,parallel-functions,264,https://github.com/amphp/parallel-functions
amphp,process,225,https://github.com/amphp/process
amphp,socket,213,https://github.com/amphp/socket
xtrime-ru,TelegramRSS,212,https://github.com/xtrime-ru/TelegramRSS
amphp,sync,154,https://github.com/amphp/sync
amphp,dns,148,https://github.com/amphp/dns
amphp,redis,146,https://github.com/amphp/redis
amphp,websocket-client,133,https://github.com/amphp/websocket-client
kelunik,acme,121,https://github.com/kelunik/acme
amphp,websocket-server,109,https://github.com/amphp/websocket-server
amphp,serialization,105,https://github.com/amphp/serialization
amphp,cache,95,https://github.com/amphp/cache
